year_month,average_rate,days_in_month
2020-01,-0.0357,21
2020-02,0.0,20
2020-03,0.0,22
2020-04,0.0,20
2020-05,0.0,19
2020-06,0.0,21
2020-07,0.0,23
2020-08,0.0,21
2020-09,0.0,22
2020-10,0.0,22
2020-11,0.0,21
2020-12,0.0,20
2021-01,0.0,19
2021-02,0.0,20
2021-03,0.0,23
2021-04,0.0,20
2021-05,0.0,20
2021-06,0.0,21
2021-07,0.0,22
2021-08,0.0,22
2021-09,0.0,22
2021-10,0.0,21
2021-11,0.0,22
2021-12,0.0,21
2022-01,0.0,20
2022-02,0.0,20
2022-03,0.0,23
2022-04,0.0,19
2022-05,0.2262,21
2022-06,0.25,20
2022-07,0.6786,21
2022-08,0.75,23
2022-09,1.1136,22
2022-10,1.75,21
2022-11,1.7841,22
2022-12,2.5,21
2023-01,2.5,21
2023-02,2.75,20
2023-03,3.0,23
2023-04,3.0,18
2023-05,3.4762,21
2023-06,3.5,20
2023-07,3.7262,21
2023-08,3.75,23
2023-09,3.7857,21
2023-10,4.0,22
2023-11,4.0,22
2023-12,4.0,19
2024-01,4.0,22
2024-02,4.0,21
2024-03,4.0,20
2024-04,4.0,21
2024-05,3.8452,21
2024-06,3.75,18
2024-07,3.75,23
2024-08,3.6591,22
2024-09,3.5,21
2024-10,3.2609,23
2024-11,2.9405,21
2024-12,2.75,18
2025-01,2.5357,21
2025-02,2.275,20
2025-03,2.25,21
2025-04,2.25,20
2025-05,2.25,20
2025-06,2.1974,19
2025-07,2.0,23
2025-08,2.0,21
2025-09,2.0,22
2025-10,1.75,23
2025-11,1.75,20
2025-12,1.75,15
